FREQ,Frequency,BORROWERS_CTY,Borrowers' country,TC_BORROWERS,Borrowing sector,TC_LENDERS,Lending sector,VALUATION,Valuation method,UNIT_TYPE,Unit type,TC_ADJUST,Adjustment,UNIT_MULT,Unit Multiplier,UNIT_MEASURE,Unit of measure,TITLE_TS,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2
Q,Quarterly,5A,All reporting economies,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:5A:P:A:M:770:A,155.3,158.9,160.4,160.8,160.9,153.6,151.9,152.4,155.8,157.8,155.3,158.8,158.7,168.9,175.1,181.5,176.9,172.2,167.6,165.8,165.1,159.7
Q,Quarterly,5R,Advanced economies,C,Non financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Advanced economies (aggregate) - Credit to Non financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:5R:C:A:M:770:A,268.9,275.7,278.1,276.9,276.9,265.7,263.3,264.6,266.8,271.8,271,274,276.1,300.8,310.7,320.6,307.9,299.4,291.1,287.8,279.9,264.9
Q,Quarterly,5R,Advanced economies,G,General government,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Advanced economies (aggregate) - Credit to General government from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:5R:G:A:M:770:A,106.7,108.9,109.6,108.8,109.4,104,102.3,104,105.5,107.8,108.9,109,111.8,126.2,131.2,135.4,128.1,124.7,120.7,119.3,113.6,104.3
Q,Quarterly,5R,Advanced economies,G,General government,A,All sectors,N,Nominal value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Advanced economies (aggregate) - Credit to General government from All sectors at Nominal value - Percentage of GDP - Adjusted for breaks,Q:5R:G:A:N:770:A,99.5,101.4,102.3,101.4,102.5,98.1,97.5,98.3,98.3,99.1,98.9,100.5,100.8,114.1,118.5,122.7,119.3,115.8,112.2,111.3,110.3,105.6
Q,Quarterly,5R,Advanced economies,H,Households & NPISHs,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Advanced economies (aggregate) - Credit to Households and NPISHs from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:5R:H:A:M:770:A,73.5,75.6,76.3,75.9,75.3,72.5,72.3,72.2,72.2,73.2,72.2,73.6,72.2,75.5,78,81,78.8,76.9,75.3,74.6,73.6,71.5
Q,Quarterly,5R,Advanced economies,N,Non-financial corporations,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Advanced economies (aggregate) - Credit to Non-financial corporations from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:5R:N:A:M:770:A,88.6,91.3,92.2,92.2,92.2,89.1,88.6,88.4,89.2,90.9,89.9,91.3,92.1,99.2,101.5,104.3,100.9,97.7,95.2,93.8,92.7,89
Q,Quarterly,5R,Advanced economies,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Advanced economies (aggregate) - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:5R:P:A:M:770:A,162.1,166.9,168.5,168.1,167.5,161.6,160.9,160.6,161.4,164.1,162.2,165,164.3,174.7,179.5,185.3,179.7,174.6,170.5,168.5,166.3,160.6
Q,Quarterly,AR,Argentina,C,Non financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Argentina - Credit to Non financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AR:C:A:M:770:A,72.5,76,78,83.9,85.9,107.9,130.7,117.6,120.5,110.9,126.4,121.7,119.4,127.4,132.6,137.7,134.2,121.5,110.3,106.5,103.8,102.7
Q,Quarterly,AR,Argentina,G,General government,A,All sectors,N,Nominal value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Argentina - Credit to General government from All sectors at Nominal value - Percentage of GDP - Adjusted for breaks,Q:AR:G:A:N:770:A,52.1,54.7,55.5,59,60.5,79.1,97.5,88.6,91.3,84.2,96,93.4,92.2,98.5,103.4,107.8,105.6,95.6,86.3,83.6,82.5,81.9
Q,Quarterly,AR,Argentina,H,Households & NPISHs,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Argentina - Credit to Households and NPISHs from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AR:H:A:M:770:A,6,6.1,6.4,6.9,7.1,7.2,7,6.6,6.1,5.6,5.4,5.4,5,5,5.2,5.6,5.2,4.7,4.5,4.5,4.3,4.4
Q,Quarterly,AR,Argentina,N,Non-financial corporations,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Argentina - Credit to Non-financial corporations from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AR:N:A:M:770:A,14.2,15,16,17.8,18.1,21.5,26.3,22.4,23.1,21.2,25.1,22.9,22.3,24,24,24.4,23.4,21.2,19.5,18.4,17,16.4
Q,Quarterly,AR,Argentina,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Argentina - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AR:P:A:M:770:A,20.4,21.3,22.5,24.9,25.4,28.8,33.2,29,29.2,26.8,30.5,28.3,27.2,28.9,29.1,29.9,28.6,25.9,24,22.9,21.3,20.8
Q,Quarterly,AT,Austria,C,Non financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Austria - Credit to Non financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AT:C:A:M:770:A,235.9,234,232.5,230.8,229.9,229,227.2,225.9,226.7,228.2,226.8,224,228.9,245.4,244.6,251.1,256.1,247.8,245,243.9,237.5,229.6
Q,Quarterly,AT,Austria,G,General government,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Austria - Credit to General government from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AT:G:A:M:770:A,93,92.2,90.9,89.3,87.6,87.3,85.4,84,84.1,84.6,85.2,82.5,85.3,96,93.3,98.3,98.7,96.4,94,92,87.9,81.6
Q,Quarterly,AT,Austria,G,General government,A,All sectors,N,Nominal value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Austria - Credit to General government from All sectors at Nominal value - Percentage of GDP - Adjusted for breaks,Q:AT:G:A:N:770:A,81.4,81.2,80.1,78.5,77.4,76.7,75.8,74.1,72.9,72,71.2,70.6,73.1,82,78.4,83.1,86.5,85.7,83.6,82.3,83.5,82.8
Q,Quarterly,AT,Austria,H,Households & NPISHs,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Austria - Credit to Households and NPISHs from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AT:H:A:M:770:A,50.1,49.9,49.8,49.5,48.9,48.8,49.2,48.9,48.7,48.8,49,48.9,49.2,50.8,51.6,52.5,53,52.1,51.8,51.4,50.6,50.1
Q,Quarterly,AT,Austria,N,Non-financial corporations,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Austria - Credit to Non-financial corporations from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AT:N:A:M:770:A,92.8,91.9,91.8,92,93.4,92.9,92.5,93,93.9,94.8,92.6,92.6,94.4,98.6,99.7,100.3,104.4,99.3,99.2,100.6,99,97.9
Q,Quarterly,AT,Austria,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Austria - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AT:P:A:M:770:A,142.9,141.8,141.6,141.5,142.3,141.7,141.8,141.9,142.6,143.6,141.6,141.5,143.6,149.4,151.3,152.8,157.4,151.4,151,152,149.6,148
Q,Quarterly,AU,Australia,C,Non financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Australia - Credit to Non financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AU:C:A:M:770:A,237.6,237.8,235.5,236.6,237.5,236.7,236.6,236.3,236.5,236.5,236.6,234.3,239.9,247.7,256.6,256.1,253.2,247.4,246.2,242.4,235.5,232.2
Q,Quarterly,AU,Australia,G,General government,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Australia - Credit to General government from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AU:G:A:M:770:A,40.5,40.9,40.2,40.9,41,40.9,40.7,40.8,41.5,42.5,43.9,43.1,45.7,53,61.1,61.8,59.8,58.4,59.3,57.7,53.5,51.5
Q,Quarterly,AU,Australia,G,General government,A,All sectors,N,Nominal value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Australia - Credit to General government from All sectors at Nominal value - Percentage of GDP - Adjusted for breaks,Q:AU:G:A:N:770:A,37.1,37.8,37.8,38,38.1,38.1,37.8,37.7,37.6,37.6,39.3,41,43.3,47.4,50.9,53.4,54.2,54.1,54.7,54.3,53.1,52.6
Q,Quarterly,AU,Australia,H,Households & NPISHs,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Australia - Credit to Households and NPISHs from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AU:H:A:M:770:A,122.7,122.9,122.2,123,123.3,123.3,122.5,122.3,121.7,120.7,119.2,119,118.8,120.9,122.2,122.8,122.5,120.3,119.4,119.1,118,117.1
Q,Quarterly,AU,Australia,N,Non-financial corporations,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Australia - Credit to Non-financial corporations from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AU:N:A:M:770:A,74.5,74,73,72.8,73.2,72.5,73.4,73.2,73.3,73.4,73.5,72.3,75.4,73.9,73.4,71.5,70.9,68.7,67.5,65.6,64,63.6
Q,Quarterly,AU,Australia,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Australia - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:AU:P:A:M:770:A,197.2,196.9,195.3,195.7,196.5,195.8,195.9,195.5,195,194,192.7,191.2,194.2,194.7,195.5,194.3,193.4,189,186.9,184.7,182,180.7
Q,Quarterly,BE,Belgium,C,Non financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Belgium - Credit to Non financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:BE:C:A:M:770:A,345.2,339.2,334.9,332.4,330.7,330.6,325.4,324.4,329.2,330.3,335.6,327.8,334.3,351.8,351.5,360.1,358.8,346.3,341.5,331.2,318.3,306.2
Q,Quarterly,BE,Belgium,G,General government,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Belgium - Credit to General government from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:BE:G:A:M:770:A,122.6,119.6,119.8,116.6,118.3,117.8,115.9,113.8,118.7,120.3,123.1,115.9,123.1,135.9,135.3,136.6,135.7,131.1,128,124,115.7,106.4
Q,Quarterly,BE,Belgium,G,General government,A,All sectors,N,Nominal value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Belgium - Credit to General government from All sectors at Nominal value - Percentage of GDP - Adjusted for breaks,Q:BE:G:A:N:770:A,106.2,104.9,105.6,102,105,104.2,103.4,99.8,102.8,101.8,101.3,97.7,102.8,113.2,112.1,112.8,116.9,113.8,111.4,108.4,107.8,106.9
Q,Quarterly,BE,Belgium,H,Households & NPISHs,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Belgium - Credit to Households and NPISHs from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:BE:H:A:M:770:A,58.7,59.1,59.2,59.3,59,59.2,59.2,59.4,59.7,60.1,60.1,60.8,61.1,63.6,64.8,66.1,66.4,64.5,63.6,62.4,61.2,60.5
Q,Quarterly,BE,Belgium,N,Non-financial corporations,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Belgium - Credit to Non-financial corporations from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:BE:N:A:M:770:A,163.9,160.5,155.9,156.4,153.4,153.7,150.3,151.2,150.8,150,152.4,151.1,150.2,152.3,151.4,157.4,156.7,150.7,149.9,144.8,141.4,139.3
Q,Quarterly,BE,Belgium,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Belgium - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:BE:P:A:M:770:A,222.6,219.6,215.1,215.8,212.4,212.9,209.5,210.6,210.6,210,212.5,211.9,211.2,215.9,216.2,223.5,223.1,215.1,213.4,207.2,202.6,199.8
Q,Quarterly,BR,Brazil,C,Non financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Brazil - Credit to Non financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:BR:C:A:M:770:A,152.3,153.2,152.7,155.2,154.3,158.1,157.7,159.2,159.3,159.7,162.2,164.1,167.9,176.2,180.2,185.9,187.8,179.4,178.7,180.5,175,178.7
Q,Quarterly,BR,Brazil,G,General government,A,All sectors,N,Nominal value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Brazil - Credit to General government from All sectors at Nominal value - Percentage of GDP - Adjusted for breaks,Q:BR:G:A:N:770:A,79.5,80.5,81.4,82.8,83.7,85.4,84.5,84.8,84.8,84.7,86,87.1,85.9,90.9,92,97.8,98.4,94.6,92.3,92.3,89.8,91
Q,Quarterly,BR,Brazil,H,Households & NPISHs,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Brazil - Credit to Households and NPISHs from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:BR:H:A:M:770:A,27.5,27.6,27.6,27.9,27.8,27.8,27.8,28.4,28.5,28.9,29.2,30,30.1,30.4,31.5,32.8,32.7,32.4,32.9,33.8,34.1,34.5
Q,Quarterly,BR,Brazil,N,Non-financial corporations,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Brazil - Credit to Non-financial corporations from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:BR:N:A:M:770:A,45.3,45.1,43.7,44.5,42.8,44.9,45.5,46,45.9,46.1,47,47,51.9,54.8,56.7,55.3,56.7,52.4,53.5,54.4,51.1,53.2
Q,Quarterly,BR,Brazil,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Brazil - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:BR:P:A:M:770:A,72.8,72.6,71.2,72.4,70.6,72.7,73.3,74.4,74.5,75,76.2,77,82,85.3,88.2,88.1,89.4,84.8,86.4,88.1,85.2,87.6
Q,Quarterly,CA,Canada,C,Non financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Canada - Credit to Non financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:CA:C:A:M:770:A,301.8,303.5,299.6,300,299.5,301.6,298.7,301.1,303.8,307,309.9,306.8,315.6,349.1,355.4,361,353.1,347.2,342.1,338.2,323.7,312.1
Q,Quarterly,CA,Canada,G,General government,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Canada - Credit to General government from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:CA:G:A:M:770:A,87.3,89.1,85.8,86.3,85.6,85.7,83.5,84.8,87.2,88.3,88.9,86.9,91.5,113.5,114.9,116.5,111.7,112.3,109.2,107.7,99.4,92.2
Q,Quarterly,CA,Canada,G,General government,A,All sectors,N,Nominal value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Canada - Credit to General government from All sectors at Nominal value - Percentage of GDP - Adjusted for breaks,Q:CA:G:A:N:770:A,81.3,81.9,81.5,81,80.8,80.8,80.2,80.5,80.8,81,81.5,80.6,83.5,103,104.6,106.5,106.3,105.3,103.4,101.6,98.8,95.6
Q,Quarterly,CA,Canada,H,Households & NPISHs,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Canada - Credit to Households and NPISHs from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:CA:H:A:M:770:A,103.8,104,104.1,103.6,102.9,102.9,102.8,103,102.5,103.2,103.9,103.6,103.9,108,111,112.8,111.8,109.5,108.7,107.5,105.9,104.9
Q,Quarterly,CA,Canada,N,Non-financial corporations,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Canada - Credit to Non-financial corporations from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:CA:N:A:M:770:A,110.7,110.3,109.7,110.1,111,113,112.4,113.2,114.1,115.5,117,116.3,120.1,127.5,129.6,131.7,129.7,125.4,124.2,123,118.3,114.9
Q,Quarterly,CA,Canada,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Canada - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:CA:P:A:M:770:A,214.5,214.3,213.8,213.7,213.9,216,215.2,216.2,216.6,218.7,220.9,219.9,224,235.5,240.5,244.5,241.4,234.9,232.9,230.5,224.2,219.8
Q,Quarterly,CH,Switzerland,C,Non financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Switzerland - Credit to Non financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:CH:C:A:M:770:A,273.9,277.7,279.1,281.4,285.5,278.7,275.8,271.6,275.7,279.8,283.8,289.7,291.8,302.4,307,302.9,316.5,313.9,312.3,305.4,306.7,305.6
Q,Quarterly,CH,Switzerland,G,General government,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Switzerland - Credit to General government from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:CH:G:A:M:770:A,31.7,31,31,31.3,29.5,29.1,28.5,28.8,29.1,29.1,29.4,28.9,29.8,32.2,31.7,31.8,31.8,31.2,30.9,30.4,28.5,26.8
Q,Quarterly,CH,Switzerland,G,General government,A,All sectors,N,Nominal value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Switzerland - Credit to General government from All sectors at Nominal value - Percentage of GDP - Adjusted for breaks,Q:CH:G:A:N:770:A,27.8,28,28,28.1,27.6,27,26.6,26.1,26.1,26.1,26.1,26,26.5,27.4,27.9,28.5,28.6,28.1,27.9,27.6,27.2,26.8
Q,Quarterly,CH,Switzerland,H,Households & NPISHs,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Switzerland - Credit to Households and NPISHs from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:CH:H:A:M:770:A,124.4,125.3,126.1,126.2,126.1,125.4,125.1,124.9,124.8,125.4,126.2,126.3,127.4,130.9,132.8,134.5,135.8,133.5,132.7,131.6,130.3,129.4
Q,Quarterly,CH,Switzerland,N,Non-financial corporations,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Switzerland - Credit to Non-financial corporations from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:CH:N:A:M:770:A,117.8,121.3,122.1,124,129.9,124.1,122.2,117.9,121.8,125.3,128.2,134.4,134.6,139.2,142.5,136.6,148.9,149.2,148.7,143.4,147.9,149.4
Q,Quarterly,CH,Switzerland,P,Private non-financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Switzerland - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:CH:P:A:M:770:A,242.2,246.7,248.1,250.2,256,249.5,247.3,242.8,246.7,250.7,254.4,260.7,262,270.2,275.3,271.1,284.7,282.8,281.4,275,278.2,278.8
Q,Quarterly,CL,Chile,C,Non financial sector,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Chile - Credit to Non financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:CL:C:A:M:770:A,166.1,167.9,164.6,162.4,161.1,163,166.1,170.8,171.8,178,185.3,186.7,194.3,208,207.6,197.5,193.5,183,182.7,182.5,175.7,184
Q,Quarterly,CL,Chile,G,General government,A,All sectors,M,Market value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Chile - Credit to General government from All sectors at Market value - Percentage of GDP - Adjusted for breaks,Q:CL:G:A:M:770:A,23.8,25.8,25,25.1,24.7,25.4,26.3,27.6,28.7,31.6,33.8,33,33.5,39,39,38.5,36.5,34.3,35.3,35.8,34.6,35.8
Q,Quarterly,CL,Chile,G,General government,A,All sectors,N,Nominal value,770,Percentage of GDP,A,Adjusted for breaks,0,Units,367,Per Cent,Chile - Credit to General government from All sectors at Nominal value - Percentage of GDP - Adjusted for breaks,Q:CL:G:A:N:770:A,21.3,23.6,23.5,23.7,23.6,23.8,25.1,25.9,25.9,27.2,27.8,28.3,30,32.7,33.3,32.6,33,33.1,35.9,36.3,36,38.8
