Frequency,BORROWERS_CTY,Borrowers' country,Borrowing sector,Lending sector,VALUATION,Valuation method,Quaterlly_per_year,Total_Credit__all_Sec
Quarterly,CA,Canada,General government,All sectors,N,Nominal value,2017-Q1,81.3
Quarterly,CA,Canada,Households & NPISHs,All sectors,M,Market value,2017-Q1,103.8
Quarterly,CA,Canada,Non-financial corporations,All sectors,M,Market value,2017-Q1,110.7
Quarterly,CA,Canada,Private non-financial sector,All sectors,M,Market value,2017-Q1,214.5
Quarterly,CH,Switzerland,Non financial sector,All sectors,M,Market value,2017-Q1,273.9
Quarterly,CH,Switzerland,General government,All sectors,M,Market value,2017-Q1,31.7
Quarterly,CH,Switzerland,General government,All sectors,N,Nominal value,2017-Q1,27.8
Quarterly,CH,Switzerland,Households & NPISHs,All sectors,M,Market value,2017-Q1,124.4
Quarterly,CH,Switzerland,Non-financial corporations,All sectors,M,Market value,2017-Q1,117.8
Quarterly,CH,Switzerland,Private non-financial sector,All sectors,M,Market value,2017-Q1,242.2
Quarterly,CL,Chile,Non financial sector,All sectors,M,Market value,2017-Q1,166.1
Quarterly,CL,Chile,General government,All sectors,M,Market value,2017-Q1,23.8
Quarterly,CL,Chile,General government,All sectors,N,Nominal value,2017-Q1,21.3
Quarterly,CL,Chile,Households & NPISHs,All sectors,M,Market value,2017-Q1,43.0
Quarterly,CL,Chile,Non-financial corporations,All sectors,M,Market value,2017-Q1,99.4
Quarterly,CL,Chile,Private non-financial sector,All sectors,M,Market value,2017-Q1,142.4
Quarterly,CN,China,Non financial sector,All sectors,M,Market value,2017-Q1,255.7
Quarterly,CN,China,General government,All sectors,N,Nominal value,2017-Q1,49.2
Quarterly,CN,China,Households & NPISHs,All sectors,M,Market value,2017-Q1,45.4
Quarterly,CN,China,Non-financial corporations,All sectors,M,Market value,2017-Q1,161.1
Quarterly,CN,China,Private non-financial sector,All sectors,M,Market value,2017-Q1,206.5
Quarterly,CO,Colombia,Non financial sector,All sectors,M,Market value,2017-Q1,112.0
Quarterly,CO,Colombia,General government,All sectors,N,Nominal value,2017-Q1,48.6
Quarterly,CO,Colombia,Households & NPISHs,All sectors,M,Market value,2017-Q1,26.311
Quarterly,CO,Colombia,Non-financial corporations,All sectors,M,Market value,2017-Q1,37.08
Quarterly,CO,Colombia,Private non-financial sector,All sectors,M,Market value,2017-Q1,63.4
Quarterly,CZ,Czechia,Non financial sector,All sectors,M,Market value,2017-Q1,132.2
Quarterly,CZ,Czechia,General government,All sectors,M,Market value,2017-Q1,43.7
Quarterly,CZ,Czechia,General government,All sectors,N,Nominal value,2017-Q1,39.7
Quarterly,CZ,Czechia,Households & NPISHs,All sectors,M,Market value,2017-Q1,31.1
Quarterly,CZ,Czechia,Non-financial corporations,All sectors,M,Market value,2017-Q1,57.4
Quarterly,CZ,Czechia,Private non-financial sector,All sectors,M,Market value,2017-Q1,88.5
Quarterly,DE,Germany,Non financial sector,All sectors,M,Market value,2017-Q1,191.9
Quarterly,DE,Germany,General government,All sectors,M,Market value,2017-Q1,73.2
Quarterly,DE,Germany,General government,All sectors,N,Nominal value,2017-Q1,67.7
Quarterly,DE,Germany,Households & NPISHs,All sectors,M,Market value,2017-Q1,53.2
Quarterly,DE,Germany,Non-financial corporations,All sectors,M,Market value,2017-Q1,65.5
Quarterly,DE,Germany,Private non-financial sector,All sectors,M,Market value,2017-Q1,118.7
Quarterly,DK,Denmark,Non financial sector,All sectors,M,Market value,2017-Q1,282.7
Quarterly,DK,Denmark,General government,All sectors,M,Market value,2017-Q1,42.8
Quarterly,DK,Denmark,General government,All sectors,N,Nominal value,2017-Q1,36.2
Quarterly,DK,Denmark,Households & NPISHs,All sectors,M,Market value,2017-Q1,116.0
Quarterly,DK,Denmark,Non-financial corporations,All sectors,M,Market value,2017-Q1,123.9
Quarterly,DK,Denmark,Private non-financial sector,All sectors,M,Market value,2017-Q1,239.9
Quarterly,ES,Spain,Non financial sector,All sectors,M,Market value,2017-Q1,283.2
Quarterly,ES,Spain,General government,All sectors,M,Market value,2017-Q1,115.0
Quarterly,ES,Spain,General government,All sectors,N,Nominal value,2017-Q1,103.6
Quarterly,ES,Spain,Households & NPISHs,All sectors,M,Market value,2017-Q1,63.5
Quarterly,ES,Spain,Non-financial corporations,All sectors,M,Market value,2017-Q1,104.7
Quarterly,ES,Spain,Private non-financial sector,All sectors,M,Market value,2017-Q1,168.2
Quarterly,FI,Finland,Non financial sector,All sectors,M,Market value,2017-Q1,254.5
Quarterly,FI,Finland,General government,All sectors,M,Market value,2017-Q1,73.3
Quarterly,FI,Finland,General government,All sectors,N,Nominal value,2017-Q1,68.0
Quarterly,FI,Finland,Households & NPISHs,All sectors,M,Market value,2017-Q1,64.2
Quarterly,FI,Finland,Non-financial corporations,All sectors,M,Market value,2017-Q1,117.0
Quarterly,FI,Finland,Private non-financial sector,All sectors,M,Market value,2017-Q1,181.3
Quarterly,FR,France,Non financial sector,All sectors,M,Market value,2017-Q1,313.3
Quarterly,FR,France,General government,All sectors,M,Market value,2017-Q1,112.8
Quarterly,FR,France,General government,All sectors,N,Nominal value,2017-Q1,100.5
Quarterly,FR,France,Households & NPISHs,All sectors,M,Market value,2017-Q1,57.5
Quarterly,FR,France,Non-financial corporations,All sectors,M,Market value,2017-Q1,143.0
Quarterly,FR,France,Private non-financial sector,All sectors,M,Market value,2017-Q1,200.5
Quarterly,G2,G20 economies,Non financial sector,All sectors,M,Market value,2017-Q1,241.4
Quarterly,G2,G20 economies,General government,All sectors,M,Market value,2017-Q1,87.9
Quarterly,G2,G20 economies,General government,All sectors,N,Nominal value,2017-Q1,83.1
Quarterly,G2,G20 economies,Households & NPISHs,All sectors,M,Market value,2017-Q1,59.7
Quarterly,G2,G20 economies,Non-financial corporations,All sectors,M,Market value,2017-Q1,93.7
Quarterly,G2,G20 economies,Private non-financial sector,All sectors,M,Market value,2017-Q1,153.5
Quarterly,GB,United Kingdom,Non financial sector,All sectors,M,Market value,2017-Q1,274.3
Quarterly,GB,United Kingdom,General government,All sectors,M,Market value,2017-Q1,112.3
Quarterly,GB,United Kingdom,General government,All sectors,N,Nominal value,2017-Q1,86.0
Quarterly,GB,United Kingdom,Households & NPISHs,All sectors,M,Market value,2017-Q1,86.6
Quarterly,GB,United Kingdom,Non-financial corporations,All sectors,M,Market value,2017-Q1,75.5
Quarterly,GB,United Kingdom,Private non-financial sector,All sectors,M,Market value,2017-Q1,162.0
Quarterly,GR,Greece,Non financial sector,All sectors,M,Market value,2017-Q1,299.9
Quarterly,GR,Greece,General government,All sectors,M,Market value,2017-Q1,174.1
Quarterly,GR,Greece,General government,All sectors,N,Nominal value,2017-Q1,177.6
Quarterly,GR,Greece,Households & NPISHs,All sectors,M,Market value,2017-Q1,60.3
Quarterly,GR,Greece,Non-financial corporations,All sectors,M,Market value,2017-Q1,65.5
Quarterly,GR,Greece,Private non-financial sector,All sectors,M,Market value,2017-Q1,125.8
Quarterly,HK,Hong Kong SAR,Non financial sector,All sectors,M,Market value,2017-Q1,388.6
Quarterly,HK,Hong Kong SAR,General government,All sectors,N,Nominal value,2017-Q1,72.1
Quarterly,HK,Hong Kong SAR,Households & NPISHs,All sectors,M,Market value,2017-Q1,67.6
Quarterly,HK,Hong Kong SAR,Non-financial corporations,All sectors,M,Market value,2017-Q1,249.0
Quarterly,HK,Hong Kong SAR,Private non-financial sector,All sectors,M,Market value,2017-Q1,316.6
Quarterly,HU,Hungary,Non financial sector,All sectors,M,Market value,2017-Q1,169.6
Quarterly,HU,Hungary,General government,All sectors,M,Market value,2017-Q1,81.5
Quarterly,HU,Hungary,General government,All sectors,N,Nominal value,2017-Q1,73.0
Quarterly,HU,Hungary,Households & NPISHs,All sectors,M,Market value,2017-Q1,19.7
Quarterly,HU,Hungary,Non-financial corporations,All sectors,M,Market value,2017-Q1,68.4
Quarterly,HU,Hungary,Private non-financial sector,All sectors,M,Market value,2017-Q1,88.1
Quarterly,ID,Indonesia,Non financial sector,All sectors,M,Market value,2017-Q1,70.6
Quarterly,ID,Indonesia,General government,All sectors,N,Nominal value,2017-Q1,28.7
Quarterly,ID,Indonesia,Households & NPISHs,All sectors,M,Market value,2017-Q1,16.9
Quarterly,ID,Indonesia,Non-financial corporations,All sectors,M,Market value,2017-Q1,24.9
Quarterly,ID,Indonesia,Private non-financial sector,All sectors,M,Market value,2017-Q1,41.9
Quarterly,IE,Ireland,Non financial sector,All sectors,M,Market value,2017-Q1,383.6
Quarterly,IE,Ireland,General government,All sectors,M,Market value,2017-Q1,82.4
Quarterly,IE,Ireland,General government,All sectors,N,Nominal value,2017-Q1,76.1
Quarterly,IE,Ireland,Households & NPISHs,All sectors,M,Market value,2017-Q1,51.6
Quarterly,IE,Ireland,Non-financial corporations,All sectors,M,Market value,2017-Q1,249.6
Quarterly,IE,Ireland,Private non-financial sector,All sectors,M,Market value,2017-Q1,301.2
Quarterly,IL,Israel,Non financial sector,All sectors,M,Market value,2017-Q1,175.9
Quarterly,IL,Israel,General government,All sectors,M,Market value,2017-Q1,66.7
Quarterly,IL,Israel,General government,All sectors,N,Nominal value,2017-Q1,60.6
Quarterly,IL,Israel,Households & NPISHs,All sectors,M,Market value,2017-Q1,40.8
Quarterly,IL,Israel,Non-financial corporations,All sectors,M,Market value,2017-Q1,68.4
Quarterly,IL,Israel,Private non-financial sector,All sectors,M,Market value,2017-Q1,109.2
Quarterly,IN,India,Non financial sector,All sectors,M,Market value,2017-Q1,156.8
Quarterly,IN,India,General government,All sectors,N,Nominal value,2017-Q1,68.8
Quarterly,IN,India,Households & NPISHs,All sectors,M,Market value,2017-Q1,31.8
Quarterly,IN,India,Non-financial corporations,All sectors,M,Market value,2017-Q1,56.2
Quarterly,IN,India,Private non-financial sector,All sectors,M,Market value,2017-Q1,88.0
Quarterly,IT,Italy,Non financial sector,All sectors,M,Market value,2017-Q1,262.9
Quarterly,IT,Italy,General government,All sectors,M,Market value,2017-Q1,148.2
Quarterly,IT,Italy,General government,All sectors,N,Nominal value,2017-Q1,136.6
Quarterly,IT,Italy,Households & NPISHs,All sectors,M,Market value,2017-Q1,41.1
Quarterly,IT,Italy,Non-financial corporations,All sectors,M,Market value,2017-Q1,73.6
Quarterly,IT,Italy,Private non-financial sector,All sectors,M,Market value,2017-Q1,114.7
Quarterly,JP,Japan,Non financial sector,All sectors,M,Market value,2017-Q1,367.7
Quarterly,JP,Japan,General government,All sectors,M,Market value,2017-Q1,211.4
Quarterly,JP,Japan,General government,All sectors,N,Nominal value,2017-Q1,199.2
Quarterly,JP,Japan,Households & NPISHs,All sectors,M,Market value,2017-Q1,60.1
Quarterly,JP,Japan,Non-financial corporations,All sectors,M,Market value,2017-Q1,96.2
Quarterly,JP,Japan,Private non-financial sector,All sectors,M,Market value,2017-Q1,156.3
Quarterly,KR,Korea,Non financial sector,All sectors,M,Market value,2017-Q1,219.6
Quarterly,KR,Korea,General government,All sectors,M,Market value,2017-Q1,38.5
Quarterly,KR,Korea,Households & NPISHs,All sectors,M,Market value,2017-Q1,87.3
Quarterly,KR,Korea,Non-financial corporations,All sectors,M,Market value,2017-Q1,93.8
Quarterly,KR,Korea,Private non-financial sector,All sectors,M,Market value,2017-Q1,181.1
Quarterly,LU,Luxembourg,Non financial sector,All sectors,M,Market value,2017-Q1,398.5
Quarterly,LU,Luxembourg,General government,All sectors,M,Market value,2017-Q1,24.2
Quarterly,LU,Luxembourg,General government,All sectors,N,Nominal value,2017-Q1,22.5
Quarterly,LU,Luxembourg,Households & NPISHs,All sectors,M,Market value,2017-Q1,62.6
Quarterly,LU,Luxembourg,Non-financial corporations,All sectors,M,Market value,2017-Q1,311.6
Quarterly,LU,Luxembourg,Private non-financial sector,All sectors,M,Market value,2017-Q1,374.3
Quarterly,MX,Mexico,Non financial sector,All sectors,M,Market value,2017-Q1,77.0
Quarterly,MX,Mexico,General government,All sectors,N,Nominal value,2017-Q1,35.9
Quarterly,MX,Mexico,Households & NPISHs,All sectors,M,Market value,2017-Q1,16.0
Quarterly,MX,Mexico,Non-financial corporations,All sectors,M,Market value,2017-Q1,25.1
Quarterly,MX,Mexico,Private non-financial sector,All sectors,M,Market value,2017-Q1,41.1
Quarterly,MY,Malaysia,Non financial sector,All sectors,M,Market value,2017-Q1,186.6
Quarterly,MY,Malaysia,General government,All sectors,N,Nominal value,2017-Q1,51.8
Quarterly,MY,Malaysia,Households & NPISHs,All sectors,M,Market value,2017-Q1,67.9
Quarterly,MY,Malaysia,Non-financial corporations,All sectors,M,Market value,2017-Q1,66.9
Quarterly,MY,Malaysia,Private non-financial sector,All sectors,M,Market value,2017-Q1,134.8
Quarterly,NL,Netherlands,Non financial sector,All sectors,M,Market value,2017-Q1,352.0
Quarterly,NL,Netherlands,General government,All sectors,M,Market value,2017-Q1,67.5
Quarterly,NL,Netherlands,General government,All sectors,N,Nominal value,2017-Q1,59.8
Quarterly,NL,Netherlands,Households & NPISHs,All sectors,M,Market value,2017-Q1,110.3
Quarterly,NL,Netherlands,Non-financial corporations,All sectors,M,Market value,2017-Q1,174.1
Quarterly,NL,Netherlands,Private non-financial sector,All sectors,M,Market value,2017-Q1,284.5
Quarterly,NO,Norway,Non financial sector,All sectors,M,Market value,2017-Q1,290.0
Quarterly,NO,Norway,General government,All sectors,M,Market value,2017-Q1,39.5
Quarterly,NO,Norway,General government,All sectors,N,Nominal value,2017-Q1,38.6
Quarterly,NO,Norway,Households & NPISHs,All sectors,M,Market value,2017-Q1,100.8
Quarterly,NO,Norway,Non-financial corporations,All sectors,M,Market value,2017-Q1,149.7
Quarterly,NO,Norway,Private non-financial sector,All sectors,M,Market value,2017-Q1,250.5
Quarterly,NZ,New Zealand,Non financial sector,All sectors,M,Market value,2017-Q1,208.0
Quarterly,NZ,New Zealand,General government,All sectors,N,Nominal value,2017-Q1,31.4
Quarterly,NZ,New Zealand,Households & NPISHs,All sectors,M,Market value,2017-Q1,92.0
Quarterly,NZ,New Zealand,Non-financial corporations,All sectors,M,Market value,2017-Q1,84.6
Quarterly,NZ,New Zealand,Private non-financial sector,All sectors,M,Market value,2017-Q1,176.6
Quarterly,PL,Poland,Non financial sector,All sectors,M,Market value,2017-Q1,140.9
Quarterly,PL,Poland,General government,All sectors,M,Market value,2017-Q1,55.8
Quarterly,PL,Poland,General government,All sectors,N,Nominal value,2017-Q1,53.8
Quarterly,PL,Poland,Households & NPISHs,All sectors,M,Market value,2017-Q1,36.0
Quarterly,PL,Poland,Non-financial corporations,All sectors,M,Market value,2017-Q1,49.1
Quarterly,PL,Poland,Private non-financial sector,All sectors,M,Market value,2017-Q1,85.1
Quarterly,PT,Portugal,Non financial sector,All sectors,M,Market value,2017-Q1,320.1
Quarterly,PT,Portugal,General government,All sectors,M,Market value,2017-Q1,136.6
Quarterly,PT,Portugal,General government,All sectors,N,Nominal value,2017-Q1,131.4
Quarterly,PT,Portugal,Households & NPISHs,All sectors,M,Market value,2017-Q1,71.7
Quarterly,PT,Portugal,Non-financial corporations,All sectors,M,Market value,2017-Q1,111.8
Quarterly,PT,Portugal,Private non-financial sector,All sectors,M,Market value,2017-Q1,183.5
Quarterly,RU,Russia,Non financial sector,All sectors,M,Market value,2017-Q1,112.6
Quarterly,RU,Russia,General government,All sectors,N,Nominal value,2017-Q1,15.8
Quarterly,RU,Russia,Households & NPISHs,All sectors,M,Market value,2017-Q1,15.4
Quarterly,RU,Russia,Non-financial corporations,All sectors,M,Market value,2017-Q1,81.4
Quarterly,RU,Russia,Private non-financial sector,All sectors,M,Market value,2017-Q1,96.8
Quarterly,SA,Saudi Arabia,Non financial sector,All sectors,M,Market value,2017-Q1,81.5
Quarterly,SA,Saudi Arabia,General government,All sectors,N,Nominal value,2017-Q1,14.1
Quarterly,SA,Saudi Arabia,Households & NPISHs,All sectors,M,Market value,2017-Q1,14.6
Quarterly,SA,Saudi Arabia,Non-financial corporations,All sectors,M,Market value,2017-Q1,52.9
Quarterly,SA,Saudi Arabia,Private non-financial sector,All sectors,M,Market value,2017-Q1,67.4
Quarterly,SE,Sweden,Non financial sector,All sectors,M,Market value,2017-Q1,285.7
Quarterly,SE,Sweden,General government,All sectors,M,Market value,2017-Q1,44.9
Quarterly,SE,Sweden,General government,All sectors,N,Nominal value,2017-Q1,42.0
Quarterly,SE,Sweden,Households & NPISHs,All sectors,M,Market value,2017-Q1,86.2
Quarterly,SE,Sweden,Non-financial corporations,All sectors,M,Market value,2017-Q1,154.6
Quarterly,SE,Sweden,Private non-financial sector,All sectors,M,Market value,2017-Q1,240.7
Quarterly,SG,Singapore,Non financial sector,All sectors,M,Market value,2017-Q1,305.7
Quarterly,SG,Singapore,General government,All sectors,N,Nominal value,2017-Q1,106.6
Quarterly,SG,Singapore,Households & NPISHs,All sectors,M,Market value,2017-Q1,63.0
Quarterly,SG,Singapore,Non-financial corporations,All sectors,M,Market value,2017-Q1,134.0
Quarterly,SG,Singapore,Private non-financial sector,All sectors,M,Market value,2017-Q1,199.1
Quarterly,TH,Thailand,Non financial sector,All sectors,M,Market value,2017-Q1,186.5
Quarterly,TH,Thailand,General government,All sectors,N,Nominal value,2017-Q1,31.9
Quarterly,TH,Thailand,Households & NPISHs,All sectors,M,Market value,2017-Q1,78.6
Quarterly,TH,Thailand,Non-financial corporations,All sectors,M,Market value,2017-Q1,76.0
Quarterly,TH,Thailand,Private non-financial sector,All sectors,M,Market value,2017-Q1,154.6
Quarterly,TR,Turkey,Non financial sector,All sectors,M,Market value,2017-Q1,113.7
Quarterly,TR,Turkey,General government,All sectors,M,Market value,2017-Q1,28.9
Quarterly,TR,Turkey,General government,All sectors,N,Nominal value,2017-Q1,28.5
Quarterly,TR,Turkey,Households & NPISHs,All sectors,M,Market value,2017-Q1,17.4
Quarterly,TR,Turkey,Non-financial corporations,All sectors,M,Market value,2017-Q1,67.4
Quarterly,TR,Turkey,Private non-financial sector,All sectors,M,Market value,2017-Q1,84.7
Quarterly,US,United States,Non financial sector,All sectors,M,Market value,2017-Q1,250.1
Quarterly,US,United States,General government,All sectors,M,Market value,2017-Q1,99.1
Quarterly,US,United States,General government,All sectors,N,Nominal value,2017-Q1,97.0
Quarterly,US,United States,Households & NPISHs,All sectors,M,Market value,2017-Q1,77.6
Quarterly,US,United States,Non-financial corporations,All sectors,M,Market value,2017-Q1,73.5
Quarterly,US,United States,Private non-financial sector,All sectors,M,Market value,2017-Q1,151.0
Quarterly,XM,Euro area,Non financial sector,All sectors,M,Market value,2017-Q1,269.3
Quarterly,XM,Euro area,General government,All sectors,M,Market value,2017-Q1,102.1
Quarterly,XM,Euro area,General government,All sectors,N,Nominal value,2017-Q1,90.9
Quarterly,XM,Euro area,Households & NPISHs,All sectors,M,Market value,2017-Q1,58.2
Quarterly,XM,Euro area,Non-financial corporations,All sectors,M,Market value,2017-Q1,109.0
Quarterly,XM,Euro area,Private non-financial sector,All sectors,M,Market value,2017-Q1,167.2
Quarterly,ZA,South Africa,Non financial sector,All sectors,M,Market value,2017-Q1,122.3
Quarterly,ZA,South Africa,General government,All sectors,N,Nominal value,2017-Q1,47.8
Quarterly,ZA,South Africa,Households & NPISHs,All sectors,M,Market value,2017-Q1,35.2
Quarterly,ZA,South Africa,Non-financial corporations,All sectors,M,Market value,2017-Q1,39.3
Quarterly,ZA,South Africa,Private non-financial sector,All sectors,M,Market value,2017-Q1,74.6
Quarterly,4T,Emerging market economies (aggregate),Non financial sector,All sectors,M,Market value,2017-Q2,195.6
Quarterly,4T,Emerging market economies (aggregate),General government,All sectors,N,Nominal value,2017-Q2,49.6
Quarterly,4T,Emerging market economies (aggregate),Households & NPISHs,All sectors,M,Market value,2017-Q2,40.3
Quarterly,4T,Emerging market economies (aggregate),Non-financial corporations,All sectors,M,Market value,2017-Q2,105.5
Quarterly,4T,Emerging market economies (aggregate),Private non-financial sector,All sectors,M,Market value,2017-Q2,145.8
Quarterly,5A,All reporting economies,Non financial sector,All sectors,M,Market value,2017-Q2,245.4
Quarterly,5A,All reporting economies,General government,All sectors,M,Market value,2017-Q2,86.5
Quarterly,5A,All reporting economies,General government,All sectors,N,Nominal value,2017-Q2,81.7
Quarterly,5A,All reporting economies,Households & NPISHs,All sectors,M,Market value,2017-Q2,62.2
Quarterly,5A,All reporting economies,Non-financial corporations,All sectors,M,Market value,2017-Q2,96.7
Quarterly,5A,All reporting economies,Private non-financial sector,All sectors,M,Market value,2017-Q2,158.9
Quarterly,5R,Advanced economies,Non financial sector,All sectors,M,Market value,2017-Q2,275.7
Quarterly,5R,Advanced economies,General government,All sectors,M,Market value,2017-Q2,108.9
Quarterly,5R,Advanced economies,General government,All sectors,N,Nominal value,2017-Q2,101.4
Quarterly,5R,Advanced economies,Households & NPISHs,All sectors,M,Market value,2017-Q2,75.6
Quarterly,5R,Advanced economies,Non-financial corporations,All sectors,M,Market value,2017-Q2,91.3
Quarterly,5R,Advanced economies,Private non-financial sector,All sectors,M,Market value,2017-Q2,166.9
Quarterly,AR,Argentina,Non financial sector,All sectors,M,Market value,2017-Q2,76.0
Quarterly,AR,Argentina,General government,All sectors,N,Nominal value,2017-Q2,54.7
Quarterly,AR,Argentina,Households & NPISHs,All sectors,M,Market value,2017-Q2,6.1
Quarterly,AR,Argentina,Non-financial corporations,All sectors,M,Market value,2017-Q2,15.0
Quarterly,AR,Argentina,Private non-financial sector,All sectors,M,Market value,2017-Q2,21.3
Quarterly,AT,Austria,Non financial sector,All sectors,M,Market value,2017-Q2,234.0
Quarterly,AT,Austria,General government,All sectors,M,Market value,2017-Q2,92.2
Quarterly,AT,Austria,General government,All sectors,N,Nominal value,2017-Q2,81.2
Quarterly,AT,Austria,Households & NPISHs,All sectors,M,Market value,2017-Q2,49.9
Quarterly,AT,Austria,Non-financial corporations,All sectors,M,Market value,2017-Q2,91.9
Quarterly,AT,Austria,Private non-financial sector,All sectors,M,Market value,2017-Q2,141.8
Quarterly,AU,Australia,Non financial sector,All sectors,M,Market value,2017-Q2,237.8
Quarterly,AU,Australia,General government,All sectors,M,Market value,2017-Q2,40.9
Quarterly,AU,Australia,General government,All sectors,N,Nominal value,2017-Q2,37.8
Quarterly,AU,Australia,Households & NPISHs,All sectors,M,Market value,2017-Q2,122.9
Quarterly,AU,Australia,Non-financial corporations,All sectors,M,Market value,2017-Q2,74.0
Quarterly,AU,Australia,Private non-financial sector,All sectors,M,Market value,2017-Q2,196.9
Quarterly,BE,Belgium,Non financial sector,All sectors,M,Market value,2017-Q2,339.2
Quarterly,BE,Belgium,General government,All sectors,M,Market value,2017-Q2,119.6
Quarterly,BE,Belgium,General government,All sectors,N,Nominal value,2017-Q2,104.9
Quarterly,BE,Belgium,Households & NPISHs,All sectors,M,Market value,2017-Q2,59.1
Quarterly,BE,Belgium,Non-financial corporations,All sectors,M,Market value,2017-Q2,160.5
Quarterly,BE,Belgium,Private non-financial sector,All sectors,M,Market value,2017-Q2,219.6
Quarterly,BR,Brazil,Non financial sector,All sectors,M,Market value,2017-Q2,153.2
Quarterly,BR,Brazil,General government,All sectors,N,Nominal value,2017-Q2,80.5
Quarterly,BR,Brazil,Households & NPISHs,All sectors,M,Market value,2017-Q2,27.6
Quarterly,BR,Brazil,Non-financial corporations,All sectors,M,Market value,2017-Q2,45.1
Quarterly,BR,Brazil,Private non-financial sector,All sectors,M,Market value,2017-Q2,72.6
Quarterly,CA,Canada,Non financial sector,All sectors,M,Market value,2017-Q2,303.5
Quarterly,CA,Canada,General government,All sectors,M,Market value,2017-Q2,89.1
