Borrowers' country,Borrowing sector,Lending sector,Credit gap data type,Series,Quaterlly_per_year,Financial_Stability_Statistics
Australia,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AU:P:A:A,2017-Q2,196.9
Australia,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AU:P:A:B,2017-Q2,202.4
Australia,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AU:P:A:C,2017-Q2,-5.5
Belgium,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:BE:P:A:A,2017-Q2,219.6
Belgium,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:BE:P:A:B,2017-Q2,225.1
Belgium,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:BE:P:A:C,2017-Q2,-5.5
Canada,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:CA:P:A:A,2017-Q2,214.3
Canada,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:CA:P:A:B,2017-Q2,204.0
Canada,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:CA:P:A:C,2017-Q2,10.3
Germany,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DE:P:A:A,2017-Q2,118.2
Germany,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DE:P:A:B,2017-Q2,124.4
Germany,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DE:P:A:C,2017-Q2,-6.1
Denmark,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DK:P:A:A,2017-Q2,237.0
Denmark,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DK:P:A:B,2017-Q2,266.6
Denmark,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DK:P:A:C,2017-Q2,-29.7
Spain,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:ES:P:A:A,2017-Q2,166.4
Spain,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:ES:P:A:B,2017-Q2,217.7
Spain,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:ES:P:A:C,2017-Q2,-51.3
Finland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FI:P:A:A,2017-Q2,183.1
Finland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FI:P:A:B,2017-Q2,185.1
Finland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FI:P:A:C,2017-Q2,-2.0
France,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FR:P:A:A,2017-Q2,200.7
France,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FR:P:A:B,2017-Q2,194.7
France,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FR:P:A:C,2017-Q2,5.9
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GB:P:A:A,2017-Q2,160.7
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GB:P:A:B,2017-Q2,178.1
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GB:P:A:C,2017-Q2,-17.4
Greece,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GR:P:A:A,2017-Q2,124.0
Greece,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GR:P:A:B,2017-Q2,143.6
Greece,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GR:P:A:C,2017-Q2,-19.6
Ireland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IE:P:A:A,2017-Q2,287.9
Ireland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IE:P:A:B,2017-Q2,348.0
Ireland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IE:P:A:C,2017-Q2,-60.1
Italy,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IT:P:A:A,2017-Q2,113.8
Italy,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IT:P:A:B,2017-Q2,131.4
Italy,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IT:P:A:C,2017-Q2,-17.6
Japan,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:JP:P:A:A,2017-Q2,155.7
Japan,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:JP:P:A:B,2017-Q2,150.6
Japan,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:JP:P:A:C,2017-Q2,5.1
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:LU:P:A:A,2017-Q2,370.4
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:LU:P:A:B,2017-Q2,415.1
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:LU:P:A:C,2017-Q2,-44.7
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NL:P:A:A,2017-Q2,281.0
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NL:P:A:B,2017-Q2,293.8
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NL:P:A:C,2017-Q2,-12.8
Norway,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NO:P:A:A,2017-Q2,248.4
Norway,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NO:P:A:B,2017-Q2,245.3
Norway,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NO:P:A:C,2017-Q2,3.0
Portugal,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:PT:P:A:A,2017-Q2,181.1
Portugal,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:PT:P:A:B,2017-Q2,225.9
Portugal,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:PT:P:A:C,2017-Q2,-44.8
Sweden,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:SE:P:A:A,2017-Q2,240.1
Sweden,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:SE:P:A:B,2017-Q2,245.5
Sweden,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:SE:P:A:C,2017-Q2,-5.4
United States,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:US:P:A:A,2017-Q2,151.7
United States,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:US:P:A:B,2017-Q2,159.6
United States,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:US:P:A:C,2017-Q2,-7.8
Euro area,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:XM:P:A:A,2017-Q2,165.7
Euro area,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:XM:P:A:B,2017-Q2,176.2
Euro area,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:XM:P:A:C,2017-Q2,-10.5
Austria,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AT:P:A:A,2017-Q3,141.6
Austria,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AT:P:A:B,2017-Q3,150.2
Austria,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AT:P:A:C,2017-Q3,-8.6
Australia,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AU:P:A:A,2017-Q3,195.3
Australia,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AU:P:A:B,2017-Q3,202.8
Australia,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AU:P:A:C,2017-Q3,-7.6
Belgium,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:BE:P:A:A,2017-Q3,215.1
Belgium,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:BE:P:A:B,2017-Q3,225.8
Belgium,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:BE:P:A:C,2017-Q3,-10.7
Canada,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:CA:P:A:A,2017-Q3,213.8
Canada,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:CA:P:A:B,2017-Q3,205.4
Canada,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:CA:P:A:C,2017-Q3,8.4
Germany,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DE:P:A:A,2017-Q3,118.0
Germany,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DE:P:A:B,2017-Q3,123.9
Germany,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DE:P:A:C,2017-Q3,-5.9
Denmark,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DK:P:A:A,2017-Q3,235.7
Denmark,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DK:P:A:B,2017-Q3,266.2
Denmark,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DK:P:A:C,2017-Q3,-30.4
Spain,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:ES:P:A:A,2017-Q3,163.2
Spain,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:ES:P:A:B,2017-Q3,215.8
Spain,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:ES:P:A:C,2017-Q3,-52.5
Finland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FI:P:A:A,2017-Q3,185.5
Finland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FI:P:A:B,2017-Q3,186.0
Finland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FI:P:A:C,2017-Q3,-0.5
France,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FR:P:A:A,2017-Q3,200.4
France,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FR:P:A:B,2017-Q3,195.9
France,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FR:P:A:C,2017-Q3,4.5
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GB:P:A:A,2017-Q3,161.5
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GB:P:A:B,2017-Q3,177.5
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GB:P:A:C,2017-Q3,-16.0
Greece,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GR:P:A:A,2017-Q3,121.8
Greece,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GR:P:A:B,2017-Q3,143.6
Greece,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GR:P:A:C,2017-Q3,-21.7
Ireland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IE:P:A:A,2017-Q3,279.5
Ireland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IE:P:A:B,2017-Q3,347.2
Ireland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IE:P:A:C,2017-Q3,-67.7
Italy,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IT:P:A:A,2017-Q3,112.0
Italy,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IT:P:A:B,2017-Q3,130.9
Italy,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IT:P:A:C,2017-Q3,-18.9
Japan,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:JP:P:A:A,2017-Q3,155.7
Japan,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:JP:P:A:B,2017-Q3,150.4
Japan,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:JP:P:A:C,2017-Q3,5.4
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:LU:P:A:A,2017-Q3,369.2
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:LU:P:A:B,2017-Q3,415.9
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:LU:P:A:C,2017-Q3,-46.6
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NL:P:A:A,2017-Q3,279.6
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NL:P:A:B,2017-Q3,294.2
Netherlands,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NL:P:A:C,2017-Q3,-14.6
Norway,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:NO:P:A:A,2017-Q3,244.6
Norway,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:NO:P:A:B,2017-Q3,246.4
Norway,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:NO:P:A:C,2017-Q3,-1.8
Portugal,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:PT:P:A:A,2017-Q3,178.7
Portugal,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:PT:P:A:B,2017-Q3,224.3
Portugal,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:PT:P:A:C,2017-Q3,-45.6
Sweden,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:SE:P:A:A,2017-Q3,239.1
Sweden,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:SE:P:A:B,2017-Q3,246.5
Sweden,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:SE:P:A:C,2017-Q3,-7.4
United States,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:US:P:A:A,2017-Q3,151.8
United States,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:US:P:A:B,2017-Q3,159.3
United States,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:US:P:A:C,2017-Q3,-7.5
Euro area,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:XM:P:A:A,2017-Q3,164.2
Euro area,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:XM:P:A:B,2017-Q3,176.1
Euro area,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:XM:P:A:C,2017-Q3,-11.9
Austria,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AT:P:A:A,2017-Q4,141.5
Austria,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AT:P:A:B,2017-Q4,150.1
Austria,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AT:P:A:C,2017-Q4,-8.6
Australia,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:AU:P:A:A,2017-Q4,195.7
Australia,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:AU:P:A:B,2017-Q4,203.3
Australia,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:AU:P:A:C,2017-Q4,-7.5
Belgium,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:BE:P:A:A,2017-Q4,215.8
Belgium,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:BE:P:A:B,2017-Q4,226.5
Belgium,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:BE:P:A:C,2017-Q4,-10.8
Canada,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:CA:P:A:A,2017-Q4,213.7
Canada,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:CA:P:A:B,2017-Q4,206.8
Canada,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:CA:P:A:C,2017-Q4,6.9
Germany,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DE:P:A:A,2017-Q4,118.2
Germany,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DE:P:A:B,2017-Q4,123.4
Germany,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DE:P:A:C,2017-Q4,-5.2
Denmark,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:DK:P:A:A,2017-Q4,234.5
Denmark,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:DK:P:A:B,2017-Q4,265.6
Denmark,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:DK:P:A:C,2017-Q4,-31.1
Spain,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:ES:P:A:A,2017-Q4,159.8
Spain,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:ES:P:A:B,2017-Q4,213.6
Spain,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:ES:P:A:C,2017-Q4,-53.8
Finland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FI:P:A:A,2017-Q4,186.8
Finland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FI:P:A:B,2017-Q4,186.9
Finland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FI:P:A:C,2017-Q4,-0.1
France,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:FR:P:A:A,2017-Q4,200.8
France,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:FR:P:A:B,2017-Q4,197.1
France,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:FR:P:A:C,2017-Q4,3.7
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GB:P:A:A,2017-Q4,162.3
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GB:P:A:B,2017-Q4,177.0
United Kingdom,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GB:P:A:C,2017-Q4,-14.7
Greece,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:GR:P:A:A,2017-Q4,120.5
Greece,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:GR:P:A:B,2017-Q4,143.5
Greece,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:GR:P:A:C,2017-Q4,-23.0
Ireland,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IE:P:A:A,2017-Q4,268.0
Ireland,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IE:P:A:B,2017-Q4,345.8
Ireland,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IE:P:A:C,2017-Q4,-77.8
Italy,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:IT:P:A:A,2017-Q4,112.1
Italy,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:IT:P:A:B,2017-Q4,130.5
Italy,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:IT:P:A:C,2017-Q4,-18.4
Japan,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:JP:P:A:A,2017-Q4,156.3
Japan,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:JP:P:A:B,2017-Q4,150.2
Japan,Private non-financial sector,All sectors,Credit-to-GDP gaps (actual-trend),Q:JP:P:A:C,2017-Q4,6.1
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP ratios (actual data),Q:LU:P:A:A,2017-Q4,364.0
Luxembourg,Private non-financial sector,All sectors,Credit-to-GDP trend (HP filter),Q:LU:P:A:B,2017-Q4,416.2
