Frequency,REF_AREA,Reference area,VALUE,Value,Unit of measure,Series,Quarterly_per_year,Property_price_rate
Quarterly,IE,Ireland,R,Real,"Year-on-year changes, in per cent",Q:IE:R:771,2017-Q1,8.8549
Quarterly,IL,Israel,N,Nominal,"Year-on-year changes, in per cent",Q:IL:N:771,2017-Q1,5.1971
Quarterly,IL,Israel,R,Real,"Year-on-year changes, in per cent",Q:IL:R:771,2017-Q1,4.6993
Quarterly,IN,India,N,Nominal,"Year-on-year changes, in per cent",Q:IN:N:771,2017-Q1,10.4531
Quarterly,IN,India,R,Real,"Year-on-year changes, in per cent",Q:IN:R:771,2017-Q1,6.6473
Quarterly,IS,Iceland,N,Nominal,"Year-on-year changes, in per cent",Q:IS:N:771,2017-Q1,17.8403
Quarterly,IS,Iceland,R,Real,"Year-on-year changes, in per cent",Q:IS:R:771,2017-Q1,15.7181
Quarterly,IT,Italy,N,Nominal,"Year-on-year changes, in per cent",Q:IT:N:771,2017-Q1,-0.7014
Quarterly,IT,Italy,R,Real,"Year-on-year changes, in per cent",Q:IT:R:771,2017-Q1,-2.014
Quarterly,JP,Japan,N,Nominal,"Year-on-year changes, in per cent",Q:JP:N:771,2017-Q1,3.9063
Quarterly,JP,Japan,R,Real,"Year-on-year changes, in per cent",Q:JP:R:771,2017-Q1,3.5533
Quarterly,KR,Korea,N,Nominal,"Year-on-year changes, in per cent",Q:KR:N:771,2017-Q1,1.2351
Quarterly,KR,Korea,R,Real,"Year-on-year changes, in per cent",Q:KR:R:771,2017-Q1,-0.9442
Quarterly,LT,Lithuania,N,Nominal,"Year-on-year changes, in per cent",Q:LT:N:771,2017-Q1,10.2401
Quarterly,LT,Lithuania,R,Real,"Year-on-year changes, in per cent",Q:LT:R:771,2017-Q1,7.2359
Quarterly,LU,Luxembourg,N,Nominal,"Year-on-year changes, in per cent",Q:LU:N:771,2017-Q1,6.9759
Quarterly,LU,Luxembourg,R,Real,"Year-on-year changes, in per cent",Q:LU:R:771,2017-Q1,5.1492
Quarterly,LV,Latvia,N,Nominal,"Year-on-year changes, in per cent",Q:LV:N:771,2017-Q1,9.285
Quarterly,LV,Latvia,R,Real,"Year-on-year changes, in per cent",Q:LV:R:771,2017-Q1,5.9145
Quarterly,MA,Morocco,N,Nominal,"Year-on-year changes, in per cent",Q:MA:N:771,2017-Q1,7.4836
Quarterly,MA,Morocco,R,Real,"Year-on-year changes, in per cent",Q:MA:R:771,2017-Q1,6.1084
Quarterly,MK,North Macedonia,N,Nominal,"Year-on-year changes, in per cent",Q:MK:N:771,2017-Q1,-3.7466
Quarterly,MK,North Macedonia,R,Real,"Year-on-year changes, in per cent",Q:MK:R:771,2017-Q1,-4.1559
Quarterly,MT,Malta,N,Nominal,"Year-on-year changes, in per cent",Q:MT:N:771,2017-Q1,5.2632
Quarterly,MT,Malta,R,Real,"Year-on-year changes, in per cent",Q:MT:R:771,2017-Q1,3.579
Quarterly,MX,Mexico,N,Nominal,"Year-on-year changes, in per cent",Q:MX:N:771,2017-Q1,7.3644
Quarterly,MX,Mexico,R,Real,"Year-on-year changes, in per cent",Q:MX:R:771,2017-Q1,2.2723
Quarterly,MY,Malaysia,N,Nominal,"Year-on-year changes, in per cent",Q:MY:N:771,2017-Q1,6.6938
Quarterly,MY,Malaysia,R,Real,"Year-on-year changes, in per cent",Q:MY:R:771,2017-Q1,2.4213
Quarterly,NL,Netherlands,N,Nominal,"Year-on-year changes, in per cent",Q:NL:N:771,2017-Q1,6.6725
Quarterly,NL,Netherlands,R,Real,"Year-on-year changes, in per cent",Q:NL:R:771,2017-Q1,5.0665
Quarterly,NO,Norway,N,Nominal,"Year-on-year changes, in per cent",Q:NO:N:771,2017-Q1,10.1167
Quarterly,NO,Norway,R,Real,"Year-on-year changes, in per cent",Q:NO:R:771,2017-Q1,7.3463
Quarterly,NZ,New Zealand,N,Nominal,"Year-on-year changes, in per cent",Q:NZ:N:771,2017-Q1,12.1019
Quarterly,NZ,New Zealand,R,Real,"Year-on-year changes, in per cent",Q:NZ:R:771,2017-Q1,9.7245
Quarterly,PE,Peru,N,Nominal,"Year-on-year changes, in per cent",Q:PE:N:771,2017-Q1,5.1332
Quarterly,PE,Peru,R,Real,"Year-on-year changes, in per cent",Q:PE:R:771,2017-Q1,1.6353
Quarterly,PH,Philippines,N,Nominal,"Year-on-year changes, in per cent",Q:PH:N:771,2017-Q1,6.6728
Quarterly,PH,Philippines,R,Real,"Year-on-year changes, in per cent",Q:PH:R:771,2017-Q1,3.6929
Quarterly,PL,Poland,N,Nominal,"Year-on-year changes, in per cent",Q:PL:N:771,2017-Q1,3.33
Quarterly,PL,Poland,R,Real,"Year-on-year changes, in per cent",Q:PL:R:771,2017-Q1,1.2537
Quarterly,PT,Portugal,N,Nominal,"Year-on-year changes, in per cent",Q:PT:N:771,2017-Q1,7.929
Quarterly,PT,Portugal,R,Real,"Year-on-year changes, in per cent",Q:PT:R:771,2017-Q1,6.4207
Quarterly,RO,Romania,N,Nominal,"Year-on-year changes, in per cent",Q:RO:N:771,2017-Q1,4.8077
Quarterly,RO,Romania,R,Real,"Year-on-year changes, in per cent",Q:RO:R:771,2017-Q1,4.6605
Quarterly,RS,Serbia,N,Nominal,"Year-on-year changes, in per cent",Q:RS:N:771,2017-Q1,15.4063
Quarterly,RS,Serbia,R,Real,"Year-on-year changes, in per cent",Q:RS:R:771,2017-Q1,11.9306
Quarterly,RU,Russia,N,Nominal,"Year-on-year changes, in per cent",Q:RU:N:771,2017-Q1,-4.1605
Quarterly,RU,Russia,R,Real,"Year-on-year changes, in per cent",Q:RU:R:771,2017-Q1,-8.4084
Quarterly,SE,Sweden,N,Nominal,"Year-on-year changes, in per cent",Q:SE:N:771,2017-Q1,7.9108
Quarterly,SE,Sweden,R,Real,"Year-on-year changes, in per cent",Q:SE:R:771,2017-Q1,6.3388
Quarterly,SG,Singapore,N,Nominal,"Year-on-year changes, in per cent",Q:SG:N:771,2017-Q1,-2.7738
Quarterly,SG,Singapore,R,Real,"Year-on-year changes, in per cent",Q:SG:R:771,2017-Q1,-3.3779
Quarterly,SI,Slovenia,N,Nominal,"Year-on-year changes, in per cent",Q:SI:N:771,2017-Q1,6.6772
Quarterly,SI,Slovenia,R,Real,"Year-on-year changes, in per cent",Q:SI:R:771,2017-Q1,4.8007
Quarterly,SK,Slovak Republic,N,Nominal,"Year-on-year changes, in per cent",Q:SK:N:771,2017-Q1,3.7523
Quarterly,SK,Slovak Republic,R,Real,"Year-on-year changes, in per cent",Q:SK:R:771,2017-Q1,2.7628
Quarterly,TH,Thailand,N,Nominal,"Year-on-year changes, in per cent",Q:TH:N:771,2017-Q1,-1.1728
Quarterly,TH,Thailand,R,Real,"Year-on-year changes, in per cent",Q:TH:R:771,2017-Q1,-2.396
Quarterly,TR,Turkey,N,Nominal,"Year-on-year changes, in per cent",Q:TR:N:771,2017-Q1,11.8857
Quarterly,TR,Turkey,R,Real,"Year-on-year changes, in per cent",Q:TR:R:771,2017-Q1,1.5179
Quarterly,US,United States,N,Nominal,"Year-on-year changes, in per cent",Q:US:N:771,2017-Q1,5.5666
Quarterly,US,United States,R,Real,"Year-on-year changes, in per cent",Q:US:R:771,2017-Q1,2.9523
Quarterly,XM,Euro area,N,Nominal,"Year-on-year changes, in per cent",Q:XM:N:771,2017-Q1,4.4055
Quarterly,XM,Euro area,R,Real,"Year-on-year changes, in per cent",Q:XM:R:771,2017-Q1,2.6241
Quarterly,XW,World,N,Nominal,"Year-on-year changes, in per cent",Q:XW:N:771,2017-Q1,5.7053
Quarterly,XW,World,R,Real,"Year-on-year changes, in per cent",Q:XW:R:771,2017-Q1,3.1247
Quarterly,ZA,South Africa,N,Nominal,"Year-on-year changes, in per cent",Q:ZA:N:771,2017-Q1,4.5293
Quarterly,ZA,South Africa,R,Real,"Year-on-year changes, in per cent",Q:ZA:R:771,2017-Q1,-1.6922
Quarterly,4T,Emerging market economies (aggregate),N,Nominal,"Year-on-year changes, in per cent",Q:4T:N:771,2017-Q2,5.8235
Quarterly,4T,Emerging market economies (aggregate),R,Real,"Year-on-year changes, in per cent",Q:4T:R:771,2017-Q2,2.9701
Quarterly,5R,Advanced economies,N,Nominal,"Year-on-year changes, in per cent",Q:5R:N:771,2017-Q2,5.2897
Quarterly,5R,Advanced economies,R,Real,"Year-on-year changes, in per cent",Q:5R:R:771,2017-Q2,3.6085
Quarterly,AE,United Arab Emirates,N,Nominal,"Year-on-year changes, in per cent",Q:AE:N:771,2017-Q2,-0.9989
Quarterly,AE,United Arab Emirates,R,Real,"Year-on-year changes, in per cent",Q:AE:R:771,2017-Q2,-2.9566
Quarterly,AT,Austria,N,Nominal,"Year-on-year changes, in per cent",Q:AT:N:771,2017-Q2,3.6324
Quarterly,AT,Austria,R,Real,"Year-on-year changes, in per cent",Q:AT:R:771,2017-Q2,1.6709
Quarterly,AU,Australia,N,Nominal,"Year-on-year changes, in per cent",Q:AU:N:771,2017-Q2,10.1504
Quarterly,AU,Australia,R,Real,"Year-on-year changes, in per cent",Q:AU:R:771,2017-Q2,8.0608
Quarterly,BE,Belgium,N,Nominal,"Year-on-year changes, in per cent",Q:BE:N:771,2017-Q2,2.8698
Quarterly,BE,Belgium,R,Real,"Year-on-year changes, in per cent",Q:BE:R:771,2017-Q2,0.9393
Quarterly,BG,Bulgaria,N,Nominal,"Year-on-year changes, in per cent",Q:BG:N:771,2017-Q2,8.5937
Quarterly,BG,Bulgaria,R,Real,"Year-on-year changes, in per cent",Q:BG:R:771,2017-Q2,6.1846
Quarterly,BR,Brazil,N,Nominal,"Year-on-year changes, in per cent",Q:BR:N:771,2017-Q2,-2.2379
Quarterly,BR,Brazil,R,Real,"Year-on-year changes, in per cent",Q:BR:R:771,2017-Q2,-5.5962
Quarterly,CA,Canada,N,Nominal,"Year-on-year changes, in per cent",Q:CA:N:771,2017-Q2,16.6356
Quarterly,CA,Canada,R,Real,"Year-on-year changes, in per cent",Q:CA:R:771,2017-Q2,15.1154
Quarterly,CH,Switzerland,N,Nominal,"Year-on-year changes, in per cent",Q:CH:N:771,2017-Q2,0.2725
Quarterly,CH,Switzerland,R,Real,"Year-on-year changes, in per cent",Q:CH:R:771,2017-Q2,-0.0985
Quarterly,CL,Chile,N,Nominal,"Year-on-year changes, in per cent",Q:CL:N:771,2017-Q2,8.1249
Quarterly,CL,Chile,R,Real,"Year-on-year changes, in per cent",Q:CL:R:771,2017-Q2,5.693
Quarterly,CN,China,N,Nominal,"Year-on-year changes, in per cent",Q:CN:N:771,2017-Q2,8.0474
Quarterly,CN,China,R,Real,"Year-on-year changes, in per cent",Q:CN:R:771,2017-Q2,6.52
Quarterly,CO,Colombia,N,Nominal,"Year-on-year changes, in per cent",Q:CO:N:771,2017-Q2,6.8704
Quarterly,CO,Colombia,R,Real,"Year-on-year changes, in per cent",Q:CO:R:771,2017-Q2,2.4273
Quarterly,CY,Cyprus,N,Nominal,"Year-on-year changes, in per cent",Q:CY:N:771,2017-Q2,1.311
Quarterly,CY,Cyprus,R,Real,"Year-on-year changes, in per cent",Q:CY:R:771,2017-Q2,0.0369
Quarterly,CZ,Czechia,N,Nominal,"Year-on-year changes, in per cent",Q:CZ:N:771,2017-Q2,13.3206
Quarterly,CZ,Czechia,R,Real,"Year-on-year changes, in per cent",Q:CZ:R:771,2017-Q2,10.8596
Quarterly,DE,Germany,N,Nominal,"Year-on-year changes, in per cent",Q:DE:N:771,2017-Q2,5.8307
Quarterly,DE,Germany,R,Real,"Year-on-year changes, in per cent",Q:DE:R:771,2017-Q2,4.342
Quarterly,DK,Denmark,N,Nominal,"Year-on-year changes, in per cent",Q:DK:N:771,2017-Q2,4.6402
Quarterly,DK,Denmark,R,Real,"Year-on-year changes, in per cent",Q:DK:R:771,2017-Q2,3.7793
Quarterly,EE,Estonia,N,Nominal,"Year-on-year changes, in per cent",Q:EE:N:771,2017-Q2,4.8178
Quarterly,EE,Estonia,R,Real,"Year-on-year changes, in per cent",Q:EE:R:771,2017-Q2,1.6398
Quarterly,ES,Spain,N,Nominal,"Year-on-year changes, in per cent",Q:ES:N:771,2017-Q2,5.5858
Quarterly,ES,Spain,R,Real,"Year-on-year changes, in per cent",Q:ES:R:771,2017-Q2,3.5181
Quarterly,FI,Finland,N,Nominal,"Year-on-year changes, in per cent",Q:FI:N:771,2017-Q2,1.5748
Quarterly,FI,Finland,R,Real,"Year-on-year changes, in per cent",Q:FI:R:771,2017-Q2,0.7981
Quarterly,FR,France,N,Nominal,"Year-on-year changes, in per cent",Q:FR:N:771,2017-Q2,3.2934
Quarterly,FR,France,R,Real,"Year-on-year changes, in per cent",Q:FR:R:771,2017-Q2,2.3859
Quarterly,GB,United Kingdom,N,Nominal,"Year-on-year changes, in per cent",Q:GB:N:771,2017-Q2,4.5249
Quarterly,GB,United Kingdom,R,Real,"Year-on-year changes, in per cent",Q:GB:R:771,2017-Q2,1.7218
Quarterly,GR,Greece,N,Nominal,"Year-on-year changes, in per cent",Q:GR:N:771,2017-Q2,-1.0558
Quarterly,GR,Greece,R,Real,"Year-on-year changes, in per cent",Q:GR:R:771,2017-Q2,-2.3116
Quarterly,HK,Hong Kong SAR,N,Nominal,"Year-on-year changes, in per cent",Q:HK:N:771,2017-Q2,21.1802
Quarterly,HK,Hong Kong SAR,R,Real,"Year-on-year changes, in per cent",Q:HK:R:771,2017-Q2,18.7839
Quarterly,HR,Croatia,N,Nominal,"Year-on-year changes, in per cent",Q:HR:N:771,2017-Q2,4.2872
Quarterly,HR,Croatia,R,Real,"Year-on-year changes, in per cent",Q:HR:R:771,2017-Q2,3.1755
Quarterly,HU,Hungary,N,Nominal,"Year-on-year changes, in per cent",Q:HU:N:771,2017-Q2,12.0658
Quarterly,HU,Hungary,R,Real,"Year-on-year changes, in per cent",Q:HU:R:771,2017-Q2,9.8042
Quarterly,ID,Indonesia,N,Nominal,"Year-on-year changes, in per cent",Q:ID:N:771,2017-Q2,3.1741
Quarterly,ID,Indonesia,R,Real,"Year-on-year changes, in per cent",Q:ID:R:771,2017-Q2,-1.0715
Quarterly,IE,Ireland,N,Nominal,"Year-on-year changes, in per cent",Q:IE:N:771,2017-Q2,10.5681
Quarterly,IE,Ireland,R,Real,"Year-on-year changes, in per cent",Q:IE:R:771,2017-Q2,10.3127
Quarterly,IL,Israel,N,Nominal,"Year-on-year changes, in per cent",Q:IL:N:771,2017-Q2,4.7076
Quarterly,IL,Israel,R,Real,"Year-on-year changes, in per cent",Q:IL:R:771,2017-Q2,4.2541
Quarterly,IN,India,N,Nominal,"Year-on-year changes, in per cent",Q:IN:N:771,2017-Q2,8.7044
Quarterly,IN,India,R,Real,"Year-on-year changes, in per cent",Q:IN:R:771,2017-Q2,6.3622
Quarterly,IS,Iceland,N,Nominal,"Year-on-year changes, in per cent",Q:IS:N:771,2017-Q2,23.1502
Quarterly,IS,Iceland,R,Real,"Year-on-year changes, in per cent",Q:IS:R:771,2017-Q2,21.0545
Quarterly,IT,Italy,N,Nominal,"Year-on-year changes, in per cent",Q:IT:N:771,2017-Q2,-0.8955
Quarterly,IT,Italy,R,Real,"Year-on-year changes, in per cent",Q:IT:R:771,2017-Q2,-2.364
Quarterly,JP,Japan,N,Nominal,"Year-on-year changes, in per cent",Q:JP:N:771,2017-Q2,2.0111
Quarterly,JP,Japan,R,Real,"Year-on-year changes, in per cent",Q:JP:R:771,2017-Q2,1.597
Quarterly,KR,Korea,N,Nominal,"Year-on-year changes, in per cent",Q:KR:N:771,2017-Q2,1.2335
Quarterly,KR,Korea,R,Real,"Year-on-year changes, in per cent",Q:KR:R:771,2017-Q2,-0.6753
Quarterly,LT,Lithuania,N,Nominal,"Year-on-year changes, in per cent",Q:LT:N:771,2017-Q2,10.2108
Quarterly,LT,Lithuania,R,Real,"Year-on-year changes, in per cent",Q:LT:R:771,2017-Q2,6.4842
Quarterly,LU,Luxembourg,N,Nominal,"Year-on-year changes, in per cent",Q:LU:N:771,2017-Q2,6.4129
Quarterly,LU,Luxembourg,R,Real,"Year-on-year changes, in per cent",Q:LU:R:771,2017-Q2,4.6239
Quarterly,LV,Latvia,N,Nominal,"Year-on-year changes, in per cent",Q:LV:N:771,2017-Q2,9.1336
Quarterly,LV,Latvia,R,Real,"Year-on-year changes, in per cent",Q:LV:R:771,2017-Q2,5.8665
Quarterly,MA,Morocco,N,Nominal,"Year-on-year changes, in per cent",Q:MA:N:771,2017-Q2,6.5299
Quarterly,MA,Morocco,R,Real,"Year-on-year changes, in per cent",Q:MA:R:771,2017-Q2,6.2433
Quarterly,MK,North Macedonia,N,Nominal,"Year-on-year changes, in per cent",Q:MK:N:771,2017-Q2,-2.2055
Quarterly,MK,North Macedonia,R,Real,"Year-on-year changes, in per cent",Q:MK:R:771,2017-Q2,-3.3798
Quarterly,MT,Malta,N,Nominal,"Year-on-year changes, in per cent",Q:MT:N:771,2017-Q2,5.9345
Quarterly,MT,Malta,R,Real,"Year-on-year changes, in per cent",Q:MT:R:771,2017-Q2,4.5209
Quarterly,MX,Mexico,N,Nominal,"Year-on-year changes, in per cent",Q:MX:N:771,2017-Q2,7.4817
Quarterly,MX,Mexico,R,Real,"Year-on-year changes, in per cent",Q:MX:R:771,2017-Q2,1.3042
Quarterly,MY,Malaysia,N,Nominal,"Year-on-year changes, in per cent",Q:MY:N:771,2017-Q2,6.8234
Quarterly,MY,Malaysia,R,Real,"Year-on-year changes, in per cent",Q:MY:R:771,2017-Q2,2.8725
Quarterly,NL,Netherlands,N,Nominal,"Year-on-year changes, in per cent",Q:NL:N:771,2017-Q2,7.5401
Quarterly,NL,Netherlands,R,Real,"Year-on-year changes, in per cent",Q:NL:R:771,2017-Q2,6.2144
Quarterly,NO,Norway,N,Nominal,"Year-on-year changes, in per cent",Q:NO:N:771,2017-Q2,6.9094
Quarterly,NO,Norway,R,Real,"Year-on-year changes, in per cent",Q:NO:R:771,2017-Q2,4.7131
Quarterly,NZ,New Zealand,N,Nominal,"Year-on-year changes, in per cent",Q:NZ:N:771,2017-Q2,6.6798
Quarterly,NZ,New Zealand,R,Real,"Year-on-year changes, in per cent",Q:NZ:R:771,2017-Q2,4.8524
Quarterly,PE,Peru,N,Nominal,"Year-on-year changes, in per cent",Q:PE:N:771,2017-Q2,1.5838
Quarterly,PE,Peru,R,Real,"Year-on-year changes, in per cent",Q:PE:R:771,2017-Q2,-1.5232
Quarterly,PH,Philippines,N,Nominal,"Year-on-year changes, in per cent",Q:PH:N:771,2017-Q2,0.175
Quarterly,PH,Philippines,R,Real,"Year-on-year changes, in per cent",Q:PH:R:771,2017-Q2,-2.5773
Quarterly,PL,Poland,N,Nominal,"Year-on-year changes, in per cent",Q:PL:N:771,2017-Q2,4.5616
Quarterly,PL,Poland,R,Real,"Year-on-year changes, in per cent",Q:PL:R:771,2017-Q2,2.6897
Quarterly,PT,Portugal,N,Nominal,"Year-on-year changes, in per cent",Q:PT:N:771,2017-Q2,8.0441
Quarterly,PT,Portugal,R,Real,"Year-on-year changes, in per cent",Q:PT:R:771,2017-Q2,6.5049
Quarterly,RO,Romania,N,Nominal,"Year-on-year changes, in per cent",Q:RO:N:771,2017-Q2,6.5421
Quarterly,RO,Romania,R,Real,"Year-on-year changes, in per cent",Q:RO:R:771,2017-Q2,5.7933
Quarterly,RS,Serbia,N,Nominal,"Year-on-year changes, in per cent",Q:RS:N:771,2017-Q2,6.6916
Quarterly,RS,Serbia,R,Real,"Year-on-year changes, in per cent",Q:RS:R:771,2017-Q2,2.8987
Quarterly,RU,Russia,N,Nominal,"Year-on-year changes, in per cent",Q:RU:N:771,2017-Q2,-3.7138
Quarterly,RU,Russia,R,Real,"Year-on-year changes, in per cent",Q:RU:R:771,2017-Q2,-7.5903
Quarterly,SE,Sweden,N,Nominal,"Year-on-year changes, in per cent",Q:SE:N:771,2017-Q2,8.4913
Quarterly,SE,Sweden,R,Real,"Year-on-year changes, in per cent",Q:SE:R:771,2017-Q2,6.5963
Quarterly,SG,Singapore,N,Nominal,"Year-on-year changes, in per cent",Q:SG:N:771,2017-Q2,-2.4286
Quarterly,SG,Singapore,R,Real,"Year-on-year changes, in per cent",Q:SG:R:771,2017-Q2,-3.1774
Quarterly,SI,Slovenia,N,Nominal,"Year-on-year changes, in per cent",Q:SI:N:771,2017-Q2,8.2555
Quarterly,SI,Slovenia,R,Real,"Year-on-year changes, in per cent",Q:SI:R:771,2017-Q2,6.7308
Quarterly,SK,Slovak Republic,N,Nominal,"Year-on-year changes, in per cent",Q:SK:N:771,2017-Q2,6.6606
Quarterly,SK,Slovak Republic,R,Real,"Year-on-year changes, in per cent",Q:SK:R:771,2017-Q2,5.6498
Quarterly,TH,Thailand,N,Nominal,"Year-on-year changes, in per cent",Q:TH:N:771,2017-Q2,-0.3094
Quarterly,TH,Thailand,R,Real,"Year-on-year changes, in per cent",Q:TH:R:771,2017-Q2,-0.4043
Quarterly,TR,Turkey,N,Nominal,"Year-on-year changes, in per cent",Q:TR:N:771,2017-Q2,10.8287
Quarterly,TR,Turkey,R,Real,"Year-on-year changes, in per cent",Q:TR:R:771,2017-Q2,-0.5985
Quarterly,US,United States,N,Nominal,"Year-on-year changes, in per cent",Q:US:N:771,2017-Q2,5.8066
Quarterly,US,United States,R,Real,"Year-on-year changes, in per cent",Q:US:R:771,2017-Q2,3.8318
